"","lon","lat","bathy"
"1",-125.409757,44.926939,2314.659912
"2",-125.378284,44.94268,2240.72998
"3",-125.346792,44.958411,2160.75
"4",-125.315283,44.974132,2075.659912
"5",-125.283756,44.989843,1984.309937
"6",-125.252211,45.005545,1887.390015
"7",-125.220647,45.021237,1784.609985
"8",-125.189065,45.03692,1674.930054
"9",-125.157465,45.052593,1555.160034
"10",-125.125846,45.068257,1419.900024
"11",-125.094209,45.083911,1266.079956
"12",-125.062553,45.099556,1097.719971
"13",-125.030878,45.115191,920.22998
"14",-124.999185,45.130817,732.598572
"15",-124.967473,45.146433,532.781494
"16",-124.935742,45.162041,393.572021
"17",-124.903992,45.177638,343.004913
"18",-124.872223,45.193226,345.049988
"19",-124.840435,45.208805,348.959991
"20",-124.808627,45.224375,351.910004
"21",-124.776801,45.239935,354.839996
"22",-124.744955,45.255486,356.5
"23",-124.713089,45.271028,357.269989
"24",-124.681205,45.28656,356.070007
"25",-124.649301,45.302083,356.040009
"26",-124.617378,45.317597,356.730011
"27",-124.585434,45.333101,352.720001
"28",-124.553471,45.348597,343.600006
"29",-124.521488,45.364084,328.820007
"30",-124.489486,45.37956,300.350006
"31",-124.457463,45.395028,269.390015
"32",-124.425421,45.410487,241.429993
"33",-124.393358,45.425937,216.520004
"34",-124.361276,45.441377,198.389999
"35",-124.329174,45.456808,184.380005
"36",-124.297052,45.47223,172.789993
"37",-124.264908,45.487643,162.270004
"38",-124.232746,45.503047,151.539993
"39",-124.200562,45.518443,140.070007
"40",-124.168358,45.533828,127.150002
"41",-124.136133,45.549205,116.769997
"42",-124.103889,45.564573,115.080002
"43",-124.071624,45.579931,126.050003
"44",-124.039337,45.595281,154.751907
"45",-124.00703,45.610621,136.364014
"46",-123.974703,45.625953,102.849495
"47",-123.942355,45.641276,75.650826
"48",-123.909986,45.656589,15
"49",-123.877595,45.671894,15
"50",-123.845184,45.68719,15
"51",-123.812752,45.702477,15
"52",-123.780298,45.717754,15
"53",-123.747823,45.733023,15
"54",-123.715327,45.748283,15
"55",-123.682809,45.763534,15
"56",-123.65027,45.778776,15
"57",-123.617711,45.79401,15
"58",-123.585128,45.809235,15
"59",-123.552524,45.82445,15
"60",-123.5199,45.839657,15
"61",-123.487252,45.854856,15
"62",-123.454584,45.870044,15
"63",-123.421893,45.885224,15
"64",-123.38918,45.900397,15
"65",-123.356445,45.91556,15
"66",-123.323688,45.930714,15
"67",-123.290909,45.945859,15
"68",-123.258107,45.960996,15
"69",-123.225283,45.976124,15
"70",-123.192437,45.991244,15
"71",-123.159568,46.006355,15
"72",-123.126676,46.021457,15
"73",-123.093761,46.036551,15
"74",-123.060824,46.051636,15
"75",-123.027864,46.066712,15
"76",-122.994881,46.08178,15
"77",-122.961875,46.096839,15
"78",-122.928845,46.11189,15
"79",-122.895792,46.126933,15
"80",-122.862716,46.141966,15
"81",-122.829616,46.156993,15
"82",-122.796493,46.17201,15
"83",-122.763346,46.187018,15
"84",-122.730175,46.202018,15
"85",-122.69698,46.217011,15
"86",-122.663761,46.231995,15
"87",-122.630519,46.246971,15
"88",-122.597251,46.261938,15
"89",-122.563959,46.276898,15
"90",-122.530643,46.291848,15
"91",-122.497302,46.306792,15
"92",-122.463936,46.321727,15
"93",-122.430546,46.336653,15
"94",-122.39713,46.351573,15
"95",-122.363689,46.366484,15
"96",-122.330222,46.381388,15
"97",-122.29673,46.396283,15
"98",-122.263212,46.411171,15
"99",-122.229668,46.42605,15
"100",-122.196097,46.440922,15
"101",-122.162502,46.455787,15
"102",-122.128878,46.470644,15
"103",-122.095229,46.485494,15
"104",-122.061553,46.500336,15
"105",-122.02785,46.515172,15
"106",-121.994119,46.529999,15
"107",-121.960361,46.54482,15
"108",-121.926575,46.559633,15
"109",-121.89276,46.574439,15
"110",-121.858917,46.589239,15
"111",-121.825047,46.604032,15
"112",-121.791146,46.618817,15
"113",-121.757217,46.633596,15
"114",-121.723258,46.64837,15
"115",-121.689269,46.663136,15
"116",-121.65525,46.677897,15
"117",-121.621199,46.692651,15
"118",-121.587118,46.7074,15
"119",-121.553005,46.722143,15
"120",-121.51886,46.736881,15
"121",-121.484682,46.751612,15
"122",-121.450472,46.76634,15
"123",-121.416228,46.781061,15
"124",-121.381949,46.79578,15
"125",-121.347635,46.810493,15
"126",-121.313285,46.825202,15
"127",-121.278898,46.839908,15
"128",-121.244474,46.854611,15
"129",-121.21001,46.869311,15
"130",-121.175508,46.884008,15
"131",-121.140965,46.898704,15
"132",-121.106378,46.913399,15
"133",-121.071748,46.928094,15
"134",-121.037072,46.942789,15
"135",-121.002348,46.957486,15
"136",-120.967573,46.972185,15
"137",-120.932745,46.986889,15
"138",-120.897861,47.001598,15
"139",-120.862915,47.016315,15
"140",-120.827902,47.031044,15
"141",-120.792816,47.045787,15
"142",-120.757648,47.06055,15
"143",-120.722385,47.075343,15
"144",-120.687007,47.090179,15
"145",-120.651492,47.105082,15
"146",-120.61578,47.12013,15
"147",-125.43241,44.949745,2314.659912
"148",-125.400929,44.965491,2240.72998
"149",-125.369429,44.981228,2160.75
"150",-125.337913,44.996956,2075.659912
"151",-125.306378,45.012673,1984.309937
"152",-125.274826,45.028381,1887.390015
"153",-125.243255,45.044081,1784.609985
"154",-125.211665,45.05977,1674.930054
"155",-125.180057,45.075449,1555.160034
"156",-125.148432,45.09112,1419.900024
"157",-125.116787,45.10678,1266.079956
"158",-125.085124,45.122432,1097.719971
"159",-125.053443,45.138074,920.22998
"160",-125.021743,45.153706,732.598572
"161",-124.990023,45.169329,532.781494
"162",-124.958284,45.184943,393.572021
"163",-124.926528,45.200548,343.004913
"164",-124.894752,45.216143,345.049988
"165",-124.862957,45.231729,348.959991
"166",-124.831142,45.247305,351.910004
"167",-124.799309,45.262873,354.839996
"168",-124.767456,45.278431,356.5
"169",-124.735584,45.293979,357.269989
"170",-124.703693,45.30952,356.070007
"171",-124.671782,45.325049,356.040009
"172",-124.639852,45.340571,356.730011
"173",-124.607902,45.356082,352.720001
"174",-124.575932,45.371586,343.600006
"175",-124.543943,45.387079,328.820007
"176",-124.511934,45.402563,300.350006
"177",-124.479904,45.418039,269.390015
"178",-124.447856,45.433505,241.429993
"179",-124.415787,45.448962,216.520004
"180",-124.383698,45.46441,198.389999
"181",-124.35159,45.479849,184.380005
"182",-124.319461,45.495278,172.789993
"183",-124.287311,45.510699,162.270004
"184",-124.255142,45.526111,151.539993
"185",-124.222952,45.541514,140.070007
"186",-124.190742,45.556907,127.150002
"187",-124.158511,45.572292,116.769997
"188",-124.12626,45.587667,115.080002
"189",-124.093989,45.603034,126.050003
"190",-124.061696,45.618391,154.751907
"191",-124.029383,45.63374,136.364014
"192",-123.99705,45.649079,102.849495
"193",-123.964695,45.66441,75.650826
"194",-123.932319,45.679732,15
"195",-123.899923,45.695045,15
"196",-123.867506,45.710349,15
"197",-123.835067,45.725643,15
"198",-123.802608,45.740929,15
"199",-123.770127,45.756206,15
"200",-123.737625,45.771475,15
"201",-123.705101,45.786734,15
"202",-123.672557,45.801985,15
"203",-123.639991,45.817226,15
"204",-123.607402,45.832459,15
"205",-123.574793,45.847684,15
"206",-123.542162,45.862899,15
"207",-123.509509,45.878105,15
"208",-123.476835,45.893304,15
"209",-123.444137,45.908493,15
"210",-123.411419,45.923673,15
"211",-123.378679,45.938845,15
"212",-123.345916,45.954008,15
"213",-123.313131,45.969163,15
"214",-123.280324,45.984309,15
"215",-123.247494,45.999445,15
"216",-123.214642,46.014574,15
"217",-123.181768,46.029694,15
"218",-123.14887,46.044806,15
"219",-123.11595,46.059908,15
"220",-123.083007,46.075003,15
"221",-123.050042,46.090089,15
"222",-123.017054,46.105166,15
"223",-122.984043,46.120235,15
"224",-122.951007,46.135295,15
"225",-122.91795,46.150347,15
"226",-122.884868,46.165391,15
"227",-122.851763,46.180426,15
"228",-122.818635,46.195453,15
"229",-122.785483,46.210471,15
"230",-122.752307,46.225483,15
"231",-122.719108,46.240484,15
"232",-122.685884,46.255479,15
"233",-122.652636,46.270464,15
"234",-122.619363,46.285443,15
"235",-122.586066,46.300412,15
"236",-122.552746,46.315374,15
"237",-122.5194,46.330328,15
"238",-122.48603,46.345273,15
"239",-122.452635,46.360211,15
"240",-122.419214,46.375141,15
"241",-122.385769,46.390062,15
"242",-122.352298,46.404977,15
"243",-122.318802,46.419883,15
"244",-122.28528,46.434782,15
"245",-122.251732,46.449674,15
"246",-122.218159,46.464558,15
"247",-122.184558,46.479434,15
"248",-122.150932,46.494303,15
"249",-122.117279,46.509164,15
"250",-122.083599,46.524018,15
"251",-122.049893,46.538865,15
"252",-122.016159,46.553705,15
"253",-121.982397,46.568538,15
"254",-121.948609,46.583365,15
"255",-121.914792,46.598184,15
"256",-121.880946,46.612996,15
"257",-121.847072,46.627802,15
"258",-121.81317,46.642602,15
"259",-121.779238,46.657395,15
"260",-121.745277,46.672181,15
"261",-121.711287,46.686963,15
"262",-121.677266,46.701737,15
"263",-121.643215,46.716507,15
"264",-121.609133,46.73127,15
"265",-121.575019,46.746029,15
"266",-121.540875,46.760782,15
"267",-121.506697,46.77553,15
"268",-121.472487,46.790273,15
"269",-121.438244,46.805013,15
"270",-121.403966,46.819748,15
"271",-121.369653,46.834478,15
"272",-121.335306,46.849207,15
"273",-121.300923,46.863932,15
"274",-121.266502,46.878654,15
"275",-121.232044,46.893374,15
"276",-121.197547,46.908093,15
"277",-121.163009,46.922811,15
"278",-121.128431,46.937529,15
"279",-121.09381,46.952248,15
"280",-121.059144,46.966968,15
"281",-121.024431,46.981691,15
"282",-120.989672,46.996419,15
"283",-120.954861,47.011153,15
"284",-120.919996,47.025895,15
"285",-120.885075,47.040649,15
"286",-120.850094,47.055417,15
"287",-120.815046,47.070204,15
"288",-120.779927,47.085018,15
"289",-120.744732,47.099869,15
"290",-120.709453,47.114771,15
"291",-120.674089,47.129752,15
"292",-120.638668,47.144859,15
"293",-125.45508,44.972545,2368.030029
"294",-125.423592,44.988298,2297.399902
"295",-125.392085,45.004041,2219.919922
"296",-125.360561,45.019775,2136.469971
"297",-125.329019,45.035499,2046.930054
"298",-125.297459,45.051214,1952.48999
"299",-125.265881,45.066919,1853.5
"300",-125.234283,45.082614,1749.75
"301",-125.202669,45.098301,1638.599976
"302",-125.171036,45.113977,1509.900024
"303",-125.139384,45.129645,1352.060059
"304",-125.107715,45.145303,1178.660034
"305",-125.076025,45.160951,1000.599976
"306",-125.044318,45.176591,823.23999
"307",-125.012592,45.192221,651.270874
"308",-124.980847,45.207842,522.64209
"309",-124.949083,45.223453,450.059998
"310",-124.9173,45.239055,425.640015
"311",-124.885498,45.254648,417.040009
"312",-124.853678,45.270231,413.609985
"313",-124.821837,45.285806,411.660004
"314",-124.789977,45.301371,410.799988
"315",-124.758098,45.316926,411.76001
"316",-124.7262,45.332474,412.170013
"317",-124.694284,45.348011,410.589996
"318",-124.662347,45.36354,406.049988
"319",-124.63039,45.379058,395.809998
"320",-124.598414,45.394569,377.970001
"321",-124.566418,45.41007,352.100006
"322",-124.534402,45.425562,319.279999
"323",-124.502366,45.441044,284.779999
"324",-124.470311,45.456517,254.009995
"325",-124.438236,45.471982,227.429993
"326",-124.406141,45.487437,207.220001
"327",-124.374025,45.502884,191.160004
"328",-124.341891,45.518322,178.550003
"329",-124.309735,45.53375,166.880005
"330",-124.277559,45.549169,155.339996
"331",-124.245363,45.564579,144.139999
"332",-124.213146,45.579981,131.240005
"333",-124.18091,45.595373,119.279999
"334",-124.148652,45.610757,107.779999
"335",-124.116374,45.62613,111.290001
"336",-124.084075,45.641496,136.081741
"337",-124.051757,45.656852,150.259827
"338",-124.019417,45.6722,109.16114
"339",-123.987056,45.687539,79.943344
"340",-123.954674,45.702869,58.331268
"341",-123.922272,45.718189,15
"342",-123.889849,45.733501,15
"343",-123.857405,45.748804,15
"344",-123.824939,45.764098,15
"345",-123.792452,45.779383,15
"346",-123.759944,45.79466,15
"347",-123.727415,45.809929,15
"348",-123.694864,45.825187,15
"349",-123.662292,45.840437,15
"350",-123.629698,45.855678,15
"351",-123.597083,45.870912,15
"352",-123.564446,45.886135,15
"353",-123.531787,45.90135,15
"354",-123.499107,45.916557,15
"355",-123.466404,45.931755,15
"356",-123.433681,45.946944,15
"357",-123.400934,45.962125,15
"358",-123.368166,45.977296,15
"359",-123.335376,45.99246,15
"360",-123.302563,46.007615,15
"361",-123.269727,46.02276,15
"362",-123.23687,46.037898,15
"363",-123.20399,46.053027,15
"364",-123.171087,46.068148,15
"365",-123.138163,46.08326,15
"366",-123.105215,46.098363,15
"367",-123.072243,46.113458,15
"368",-123.039249,46.128545,15
"369",-123.006233,46.143623,15
"370",-122.973193,46.158693,15
"371",-122.94013,46.173756,15
"372",-122.907043,46.188809,15
"373",-122.873934,46.203853,15
"374",-122.8408,46.218891,15
"375",-122.807643,46.233919,15
"376",-122.774462,46.248939,15
"377",-122.741258,46.263952,15
"378",-122.708029,46.278955,15
"379",-122.674776,46.293952,15
"380",-122.6415,46.308939,15
"381",-122.608199,46.32392,15
"382",-122.574873,46.338891,15
"383",-122.541523,46.353856,15
"384",-122.508149,46.368812,15
"385",-122.47475,46.383761,15
"386",-122.441324,46.398701,15
"387",-122.407875,46.413634,15
"388",-122.3744,46.428559,15
"389",-122.3409,46.443477,15
"390",-122.307374,46.458387,15
"391",-122.273822,46.47329,15
"392",-122.240245,46.488185,15
"393",-122.206642,46.503073,15
"394",-122.173011,46.517954,15
"395",-122.139355,46.532827,15
"396",-122.105672,46.547693,15
"397",-122.071963,46.562552,15
"398",-122.038226,46.577404,15
"399",-122.004461,46.592249,15
"400",-121.970669,46.607088,15
"401",-121.93685,46.621921,15
"402",-121.903003,46.636746,15
"403",-121.869127,46.651565,15
"404",-121.835222,46.666378,15
"405",-121.801289,46.681184,15
"406",-121.767327,46.695985,15
"407",-121.733335,46.71078,15
"408",-121.699313,46.725569,15
"409",-121.665261,46.740353,15
"410",-121.631179,46.755131,15
"411",-121.597065,46.769905,15
"412",-121.562921,46.784673,15
"413",-121.528744,46.799437,15
"414",-121.494535,46.814196,15
"415",-121.460293,46.828952,15
"416",-121.426017,46.843705,15
"417",-121.391708,46.858452,15
"418",-121.357364,46.873199,15
"419",-121.322984,46.887942,15
"420",-121.288568,46.902683,15
"421",-121.254116,46.917423,15
"422",-121.219625,46.932162,15
"423",-121.185095,46.946902,15
"424",-121.150526,46.961642,15
"425",-121.115915,46.976383,15
"426",-121.081261,46.991127,15
"427",-121.046564,47.005876,15
"428",-121.01182,47.020631,15
"429",-120.977029,47.035394,15
"430",-120.942188,47.050166,15
"431",-120.907296,47.064952,15
"432",-120.87235,47.079755,15
"433",-120.837346,47.094581,15
"434",-120.802284,47.109435,15
"435",-120.767162,47.124328,15
"436",-120.731984,47.139272,15
"437",-120.696759,47.154285,15
"438",-120.661516,47.169387,15
"439",-125.477768,44.995341,2419.840088
"440",-125.446272,45.0111,2353.280029
"441",-125.414759,45.026849,2278.699951
"442",-125.383226,45.042589,2196.360107
"443",-125.351677,45.05832,2108.030029
"444",-125.32011,45.074041,2015.5
"445",-125.288525,45.089752,1919.670044
"446",-125.25692,45.105454,1821.180054
"447",-125.225299,45.121147,1720.27002
"448",-125.193659,45.13683,1612
"449",-125.162,45.152505,1440.939941
"450",-125.130322,45.168169,1266.780029
"451",-125.098627,45.183824,1094.5
"452",-125.066913,45.19947,928.570007
"453",-125.03518,45.215107,777.73999
"454",-125.003428,45.230735,656.27002
"455",-124.971656,45.246353,575.5
"456",-124.939867,45.261962,530.109985
"457",-124.908058,45.277561,506.519989
"458",-124.876231,45.293152,493.76001
"459",-124.844384,45.308734,485.200012
"460",-124.812518,45.324306,477.709991
"461",-124.780633,45.339868,479.929993
"462",-124.748728,45.355423,479.320007
"463",-124.716804,45.370967,474.390015
"464",-124.68486,45.386503,464.220001
"465",-124.652897,45.402029,447.109985
"466",-124.620914,45.417546,418.48999
"467",-124.588912,45.433055,381.399994
"468",-124.55689,45.448554,340.329987
"469",-124.524848,45.464044,299.200012
"470",-124.492786,45.479525,267.209991
"471",-124.460704,45.494997,240.460007
"472",-124.428603,45.51046,218.300003
"473",-124.396482,45.525914,198.490005
"474",-124.36434,45.541359,183.929993
"475",-124.332178,45.556794,172.190002
"476",-124.299996,45.572222,160.669998
"477",-124.267793,45.58764,148.800003
"478",-124.235571,45.603048,136.75
"479",-124.203328,45.618449,124.379997
"480",-124.171064,45.633839,112.080002
"481",-124.13878,45.649222,106.540001
"482",-124.106476,45.664595,105.82
"483",-124.074151,45.679959,130.487915
"484",-124.041805,45.695315,122.195419
"485",-124.009438,45.710662,91.620926
"486",-123.97705,45.725999,71.56723
"487",-123.944642,45.741328,15
"488",-123.912213,45.756648,15
"489",-123.879763,45.771959,15
"490",-123.84729,45.787262,15
"491",-123.814798,45.802555,15
"492",-123.782284,45.81784,15
"493",-123.749749,45.833117,15
"494",-123.717192,45.848384,15
"495",-123.684615,45.863642,15
"496",-123.652016,45.878892,15
"497",-123.619394,45.894134,15
"498",-123.586752,45.909366,15
"499",-123.554088,45.92459,15
"500",-123.521401,45.939805,15
"501",-123.488693,45.955012,15
"502",-123.455964,45.970209,15
"503",-123.423212,45.985398,15
"504",-123.390438,46.000578,15
"505",-123.357642,46.015751,15
"506",-123.324823,46.030915,15
"507",-123.291983,46.04607,15
"508",-123.25912,46.061217,15
"509",-123.226235,46.076355,15
"510",-123.193327,46.091484,15
"511",-123.160397,46.106605,15
"512",-123.127443,46.121718,15
"513",-123.094467,46.136823,15
"514",-123.061468,46.151919,15
"515",-123.028447,46.167006,15
"516",-122.995401,46.182086,15
"517",-122.962334,46.197157,15
"518",-122.929242,46.212219,15
"519",-122.896127,46.227275,15
"520",-122.862988,46.242321,15
"521",-122.829827,46.257359,15
"522",-122.796642,46.27239,15
"523",-122.763432,46.287411,15
"524",-122.730199,46.302426,15
"525",-122.696942,46.317431,15
"526",-122.663661,46.33243,15
"527",-122.630355,46.34742,15
"528",-122.597025,46.362402,15
"529",-122.563671,46.377377,15
"530",-122.530292,46.392343,15
"531",-122.496888,46.407303,15
"532",-122.463459,46.422254,15
"533",-122.430006,46.437198,15
"534",-122.396527,46.452134,15
"535",-122.363023,46.467063,15
"536",-122.329494,46.481983,15
"537",-122.295938,46.496897,15
"538",-122.262357,46.511804,15
"539",-122.22875,46.526703,15
"540",-122.195117,46.541595,15
"541",-122.161458,46.55648,15
"542",-122.127771,46.571359,15
"543",-122.094059,46.58623,15
"544",-122.06032,46.601095,15
"545",-122.026552,46.615952,15
"546",-121.992758,46.630803,15
"547",-121.958936,46.645647,15
"548",-121.925088,46.660486,15
"549",-121.89121,46.675318,15
"550",-121.857303,46.690144,15
"551",-121.823369,46.704964,15
"552",-121.789405,46.719778,15
"553",-121.755413,46.734587,15
"554",-121.721391,46.74939,15
"555",-121.687338,46.764188,15
"556",-121.653255,46.778981,15
"557",-121.619142,46.79377,15
"558",-121.584999,46.808553,15
"559",-121.550823,46.823333,15
"560",-121.516615,46.838108,15
"561",-121.482375,46.85288,15
"562",-121.448103,46.867648,15
"563",-121.413797,46.882414,15
"564",-121.379456,46.897177,15
"565",-121.345082,46.911939,15
"566",-121.310671,46.926698,15
"567",-121.276225,46.941457,15
"568",-121.241741,46.956216,15
"569",-121.20722,46.970976,15
"570",-121.172661,46.985736,15
"571",-121.138062,47.0005,15
"572",-121.103421,47.015267,15
"573",-121.068741,47.03004,15
"574",-121.034016,47.04482,15
"575",-120.999247,47.059609,15
"576",-120.964433,47.074409,15
"577",-120.929571,47.089223,15
